position,width,height,core_slope,offset,time
,,,,,0.614382
,,,,,0.61911
,,,,,0.623897
,,,,,0.628697
,,,,,0.633434
,,,,,0.638188
,,,,,0.642999
,,,,,0.647716
,,,,,0.652443
,,,,,0.65723
,,,,,0.662031
,,,,,0.666767
,,,,,0.671522
,,,,,0.676332
,,,,,0.681049
,,,,,0.685777
,,,,,0.690564
,,,,,0.695364
,,,,,0.7001
,,,,,0.704855
,,,,,0.709665
,,,,,0.714382
,,,,,0.71911
1.4384708711289083,0.000562027312223209,0.005151816312237818,12.478013442037044,0.0032672651249850545,0.723897
,,,,,0.728697
,,,,,0.733434
1.420222293839757,0.0001521891466606892,0.003909341183272236,2.2225550627791457,0.0012867951194975927,0.738188
,,,,,0.742999
,,,,,0.747716
,,,,,0.752443
,,,,,0.75723
,,,,,0.762031
